modelo,nombre,n_observaciones,mae_cts,rmse_cts,mape_pct
prophet,Prophet · GASOLEO_A · pre shock · train,636,0.27650406659893734,0.36758935473629895,0.19139217655040847
prophet,Prophet · GASOLEO_A · pre shock · val,92,5.448232982659305,6.017395224390032,3.8632126059854865
prophet,Prophet · GASOLEO_A · pre shock · test,59,8.68969931501529,8.744178480504718,6.1969313541593944
prophet,Prophet · GASOLEO_A · post shock · train,61,0.5580429320927434,0.9507995733815815,0.3114170800494382
prophet,Prophet · GASOLEO_A · post shock · val,24,5.283004618052953,6.237998220905926,3.1199694259518282
prophet,Prophet · GASOLEO_A · post shock · test,21,17.316506776180617,17.704495899267492,10.675992372397259
prophet,Prophet · GASOLINA_95 · pre shock · train,636,0.23991744956291058,0.3084737508485977,0.15641007452947708
prophet,Prophet · GASOLINA_95 · pre shock · val,92,3.0717406586850715,3.9484948530581265,2.100217254358463
prophet,Prophet · GASOLINA_95 · pre shock · test,59,1.4288910407909572,1.6335500948902282,0.9841492952161746
prophet,Prophet · GASOLINA_95 · post shock · train,61,0.5398770217660873,1.0310318518290305,0.33501231343835514
prophet,Prophet · GASOLINA_95 · post shock · val,24,2.680388013781244,3.1272737927530705,1.7201049674799362
prophet,Prophet · GASOLINA_95 · post shock · test,21,13.506850960727421,14.221784446607643,8.861502176018766
