carburante,regimen,fecha,mae_cts,mape_pct
Gasóleo A,post_shock,2026-06-15,10.968182442585594,6.9196280176035145
Gasóleo A,post_shock,2026-06-16,11.764112700729278,7.46922756951485
Gasóleo A,post_shock,2026-06-17,12.687906990260792,8.120209995413893
Gasóleo A,post_shock,2026-06-18,13.768359208025633,8.885185967715124
Gasóleo A,post_shock,2026-06-19,14.56542830000688,9.452311229501653
Gasóleo A,post_shock,2026-06-20,14.694168294221505,9.541795816396345
Gasóleo A,post_shock,2026-06-21,14.51150351086595,9.415664939899102
Gasóleo A,pre_shock,2026-06-15,4.435610337536352,2.8370970244600158
Gasóleo A,pre_shock,2026-06-16,3.2850981524062997,2.1158279093640497
Gasóleo A,pre_shock,2026-06-17,1.9901228063402843,1.292130817580716
Gasóleo A,pre_shock,2026-06-18,1.312738669815198,0.8591293591356173
Gasóleo A,pre_shock,2026-06-19,1.241419522126372,0.8132451197275025
Gasóleo A,pre_shock,2026-06-20,1.140052004307725,0.7519559572228839
Gasóleo A,pre_shock,2026-06-21,1.2277362781648864,0.8109694489107349
Gasolina 95 E5,post_shock,2026-06-15,0.7884302703639043,0.5372438652722247
Gasolina 95 E5,post_shock,2026-06-16,1.3493070487977255,0.9173593130569715
Gasolina 95 E5,post_shock,2026-06-17,2.048092755019971,1.402156903853995
Gasolina 95 E5,post_shock,2026-06-18,2.911547590553775,1.9959252546131783
Gasolina 95 E5,post_shock,2026-06-19,3.3434440793680484,2.2946088647124365
Gasolina 95 E5,post_shock,2026-06-20,4.104886927955849,2.815558022177372
Gasolina 95 E5,post_shock,2026-06-21,4.176965246922015,2.862761573625911
Gasolina 95 E5,pre_shock,2026-06-15,0.3648836857081604,0.2482560979834998
Gasolina 95 E5,pre_shock,2026-06-16,0.5445050966108012,0.3710936629241324
Gasolina 95 E5,pre_shock,2026-06-17,0.7520938050435904,0.5187834605257976
Gasolina 95 E5,pre_shock,2026-06-18,0.8635382290239613,0.5989229809005887
Gasolina 95 E5,pre_shock,2026-06-19,0.8999834954225415,0.6243020919326168
Gasolina 95 E5,pre_shock,2026-06-20,0.7013467220633406,0.48323096538970317
Gasolina 95 E5,pre_shock,2026-06-21,0.5266762085682514,0.3630476873669472
